diocese,one_person_household_aged_66_years_and_over,one_person_household_other,single_family_household_all_aged_66_years_and_over,single_family_household_married_or_civil_partnership_couple_no_children,single_family_household_married_or_civil_partnership_couple_dependent_children,single_family_household_married_or_civil_partnership_couple_all_children_non_dependent,single_family_household_cohabiting_couple_family_no_children,single_family_household_cohabiting_couple_family_with_dependent_children,single_family_household_cohabiting_couple_family_all_children_non_dependent,single_family_household_lone_parent_family_with_dependent_children,single_family_household_lone_parent_family_all_children_non_dependent,single_family_household_other_single_family_household_other_family_composition,other_household_types_with_dependent_children,other_household_types_other_including_all_full_time_students_and_all_aged_66_years_and_over
Bath and Wells,63913.94899,63962.90998,52936.10039,50681.70071,57257.06233,22896.25624,26800.96801,19210.88432,2844.12411,23390.74933,13952.83735,2021.52775,7448.99048,15792.42028
Birmingham,71658.15912,113159.2869,41442.18024,46993.0247,95904.79718,35762.65626,28250.00923,23191.62207,4345.02111,54681.05144,31941.50366,6277.95678,27279.9403,25613.47334
Blackburn,81462.8217,105567.80889,57196.05792,63104.88155,76054.48921,32144.00623,33511.28266,29013.30266,4543.07055,42342.57503,23324.92936,3463.90961,14096.68392,17276.90079
Bristol,48333.46334,75617.94691,34547.806019999996,43409.08115,65792.84202,22858.02217,36078.77879,20077.52458,2944.16122,27416.26839,15702.26969,3545.52828,10555.70995,27972.13921
Canterbury,58638.37411,60839.98205,45274.95011,44954.4002,53992.06335,22942.1674,24795.39519,20881.94701,3480.92389,27064.98813,16046.257,2171.65797,10639.57225,16182.35327
Carlisle,35434.46278,41514.15856,27323.89873,29442.80712,25933.21656,13199.77628,13515.11904,10485.48449,1462.66447,12842.10779,7920.84551,907.12362,2958.17346,4862.89892
Chelmsford,147711.44074,193058.14121,101698.98099,114365.68263,210061.17004,81656.16689,70486.49222,57401.34208,10102.01708,94563.81994,61023.65803,12235.37329,55499.65144,57451.01961
Chester,103321.2641,124080.00128,75919.85574,78914.86218,104478.1906,43337.07683,44753.47477,34820.30452,5328.26689,49915.60862,29664.07279,3774.37377,12389.49901,17558.20711
Chichester,112344.1037,117129.05354,81417.43092,79216.76127,98918.91639,38244.57612,48426.40093,31834.60521,4939.4188,42042.2302,27405.82039,4372.40839,15123.19127,33782.66411
Coventry,46679.2018,62244.98338,34158.90129,37955.53506,55285.93358,21187.06274,22448.6093,16485.93387,2542.48623,25206.35223,14900.73314,2961.61301,9627.36106,16033.80061
Derby,64016.23856,80206.64812,49176.50177,55344.71926,60176.2868,26712.95071,31781.56364,24327.60166,3779.92231,29386.04233,17685.24849,2446.85875,8725.0028,11575.5456
Durham,95285.28372,128669.64397,62854.40078,73163.65111,73251.69212,38312.34511,39169.82655,33651.03236,5795.11533,54844.13402,28471.64576,3512.86103,10237.93019,13887.45652
Ely,40464.77218,52904.55062,33810.79659,40017.46952,52686.92126,17133.29284,23697.63103,15329.84619,2139.18384,18908.07545,10844.55814,1915.29609,7133.90934,14478.85923
Exeter,82431.89086,83596.21927,65410.26433,63891.03813,64067.39067,26626.08578,33703.95744,23701.23092,3470.31156,29907.45708,18723.36983,2360.71838,9699.97618,21440.44869
Gloucester,41554.49724,47643.31801,34131.46866,36462.74009,43191.7531,16302.05495,20426.86586,13130.80282,2001.01317,16218.05329,10269.63965,1373.73415,4851.11054,9591.08137
Guildford,54769.65958,60488.28494,43166.69193,47096.76761,85481.48556,27181.35267,26013.49335,15839.25535,2456.48362,21951.53712,15415.74897,2278.40471,9890.77459,17564.55413
Hereford,22866.49167,20380.6063,20155.39144,19008.9671,16928.23927,8490.85202,8288.17061,6138.36402,1082.73378,7532.63487,5048.27348,615.72798,2829.33205,3955.50051
Leeds,148041.43958,219816.89444,102303.59552,124515.0975,164674.24897,60521.34997,76387.19777,56720.32314,8746.9487,87886.92069,44088.40251,7614.3159,29860.42247,37425.14467
Leicester,51152.75867,66393.02068,40473.3746,45630.50166,67502.95796,27472.26108,25396.27965,19860.73888,3203.04735,26895.95633,17303.87187,3073.44865,14346.16323,17381.64898
Lichfield,121140.7293,148835.88121,90505.40013,99666.57472,123536.94751,57454.78388,53879.37647,49703.0625,7773.32871,66089.74638,39057.29724,5807.98909,24476.29241,25031.60595
Lincoln,68299.19927,73323.42835,56993.75469,61893.33876,55661.95876,25088.37422,30692.1326,25167.38752,3624.65232,30931.55772,16091.4749,2527.71299,9633.22361,14849.91806
Liverpool,93799.05017,137261.15134,57631.63011,63486.17352,80295.15597,44047.49676,41328.16127,35494.02762,6414.56298,57770.02806,37301.95983,5711.64133,14933.58965,23127.07285
London,151494.77584,359204.41432,67491.32313,122836.87597,257215.9048,85590.90344,107218.91817,40592.41928,7586.87989,122840.97118,90551.48942,29927.42384,77582.9016,140890.92926
Manchester,105245.36744,184402.35685,59396.87394,76066.59743,124842.13424,46441.05894,58944.1614,44722.37784,7566.07396,78305.48623,42791.55381,9330.14752,28599.47274,40493.63511
Newcastle,52223.94991,71726.55022,35749.57302,41000.1896,44613.46156,19281.77646,23071.81867,15843.59739,2529.96491,26017.57945,14157.10898,2208.35832,5483.25992,12584.38324
Norwich,62946.44938,66806.11047,51976.18774,48961.05328,46854.17469,20587.88943,27511.23094,20129.90881,3135.23556,23925.17363,14117.35142,2009.27225,7168.28877,14442.37437
Oxford,112270.61034,150024.54136,88821.36341,109765.21039,186204.68445,58741.97296,63310.95514,40395.30486,6193.25144,59177.0776,36693.13934,7046.35143,28927.44415,44030.90264
Peterborough,46036.3019,61422.91225,37256.34826,44693.64134,60258.56557,21678.34292,25658.68375,21071.67902,3084.18646,27263.25367,14800.90419,3062.23914,12581.53929,14820.85241
Portsmouth,50360.98454,52374.99479,37494.94593,39642.63233,43562.89227,18535.50645,20745.12348,15041.57476,2409.31871,20916.04173,12580.68648,1847.55604,6874.37971,13692.73858
Rochester,69118.85611,81663.2807,49802.71913,54215.12516,96868.19086,36221.33788,32436.48518,27509.41546,4616.93689,38738.76483,24613.12337,3599.2361300000002,16296.1196,18299.89134
Salisbury,66031.2205,58428.24076,56324.44722,53973.82448,58141.3234,23729.82702,24832.20308,17274.19124,2555.92331,22230.24444,14760.86459,1709.89709,7596.0718,13549.22634
Sheffield,70356.71408,98161.88553,48881.37351,57255.56743,65906.22705,29043.41165,35895.11957,29795.74497,4859.36689,40293.63061,21658.52597,3397.92155,11160.32514,17677.96091
Southwark,105365.56218,235825.55559,51244.76132,91876.42682,174799.14603,54207.97093,92522.88888,38662.54051,6659.09807,93307.56696,60605.0853,18638.53587,42634.38699,97325.57656
Southwell and Nottingham,63395.36923,85753.5188,46476.74322,53721.38517,62940.97988,25636.79212,33455.8627,24955.29388,3975.65377,34296.52863,18918.74547,3425.89649,10409.81911,20363.36669
St Albans,92034.39727,122769.71117,66989.93267,77883.35625,144599.36278,49921.39067,46267.44114,34477.82687,5596.55473,52349.81498,33254.54661,5693.58534,23104.12072,27762.73102
St Edmundsbury and Ipswich,43383.37989,48335.52946,37055.39826,36980.69168,39679.30618,16140.69289,18626.00113,13873.29836,2163.71639,16580.47639,9980.80427,1317.07315,5146.01456,8117.63529
Truro,39658.74528,37412.23803,31605.72753,31790.65646,29243.47614,13171.3859,15631.06932,11973.41442,1713.99494,14270.39837,9022.87909,1134.4139499999999,4979.8864,9842.25662
Winchester,70960.18983,85843.12699,56030.71421,60421.92962,79221.9122,28069.43886,36060.07899,21905.47252,3232.54533,29806.24197,18298.1547,3352.46363,10662.41986,24560.30701
Worcester,54740.26655,61523.4237,44013.43684,43688.35854,52155.54757,24189.26508,24175.77722,19644.42912,3185.57345,25932.98102,15824.42115,1854.21377,8206.89969,10269.25281
York,92171.79504,110593.34715,69680.7209,76057.563939999993,77426.63294,33707.32243,40777.72149,32480.99452,5047.86191,43411.39448,23268.51397,3507.80334,10717.60252,19121.72206
